"sr_no","pic","name_of_dam","operated_maintained_by","latitude","longitude","year_of_completion","river_basin","river","neareast_city","seismic_zone","dam_type","height_above_lowest_foundation_level","dam_length","volume_content_of_dam","gross_storage_capacity","reservoir_area","effective_storage_capacity","purpose","designed_spillway_capacity"
31,"RA11MH0031","MAN SAROWAR","Rajasthan Water Resources Department","25° 55 ' 22""","76° 26 ' 23""",1957,"Ganga","Chambal","Sawai Madhopur","II","Earthfill_Embankment",26,1355,0,17487000,8e+06,16180000,"I",921
32,"RA11LH0032","PAIBALA PURA","Rajasthan Water Resources Department","25° 41 ' 56""","75° 52 ' 26""",1957,"Ganga","Mej River","nanwa","II","Earthfill_Embankment",14.63,3644.52,1021600,12960000,9400000,1e+07,"I",632
33,"RA11MH0033","JUGGAR","Rajasthan Water Resources Department","26° 43 ' 12""","77° 5 ' 46""",1957,"Ganga","Juggar Banas","Hindaun","II","Earthfill_Embankment",21,1585,0,34970000,8210000,31510000,"I",1881
34,"RA11MH0034","ORA","Rajasthan Water Resources Department","25° 1 ' 41""","72° 48 ' 36""",1957,"West Flowing Rivers of Kutch and Saurashtra including Luni","Khari","Sheoganj","III","Earthfill_Embankment",20.12,4094,NA,22650000,7460000,22280000,"I",836
35,"RA11MH0035","BUNDIKA GOTHRA","Rajasthan Water Resources Department","25° 41 ' 30""","75° 38 ' 53""",1957,"Ganga","Mej River","Hindoli","II","Other",20.14,2613.94,1896100,28400000,6700000,18970000,"I",857
36,"RA11LH0036","SARERI","Rajasthan Water Resources Department","25° 41 ' 37""","74° 34 ' 10""",1957,"Ganga","Mansi","hurara","II","Other",13.1,6336,0,55770000,1.8e+07,55100000,"I",1604
37,"RA11MH0037","KHARI","Rajasthan Water Resources Department","25° 42 ' 21""","74° 16 ' 54""",1957,"Ganga","Khari","Asind","II","Other",17.67,2391,0,38960000,8840000,33300000,"I",1911
38,"RA11MH0038","ARWAR","Rajasthan Water Resources Department","25° 48 ' 52""","74° 48 ' 27""",1957,"Ganga","Khari","Shahpura","II","Other",18.28,5250,0,47910000,18800000,47800000,"I",2761
39,"RA11HH0039","JAWAI","Rajasthan Water Resources Department","25° 5 ' 55""","73° 8 ' 59""",1957,"West Flowing Rivers of Kutch and Saurashtra including Luni","Jawai","Bali","II","Masonry_Gravity",20.72,924,NA,207410000,25900000,184200000,"I",4245
40,"RA11MH0040","PGACHKI BAWRI","Rajasthan Water Resources Department","25° 38 ' 12""","75° 26 ' 44""",1957,"Ganga","Began","Hindoli","II","Earthfill_Embankment",19,954,0,5620000,782000,5100000,"I",379
41,"RA11LH0041","KALA BHATA","Rajasthan Water Resources Department","25° 37 ' 14""","74° 4 ' 54""",1958,"Ganga","Khari","dergarh","II","Earthfill_Embankment",14.06,979,0,4250000,1450000,3870000,"I",351
42,"RA11MH0042","BHIMLAT","Rajasthan Water Resources Department","25° 17 ' 55""","75° 24 ' 5""",1958,"Ganga","Bhimlat","Hindoli","II","Other",13.42,624,0,11690000,2507000,10700000,"I",442
43,"RA11LH0043","HARO","Rajasthan Water Resources Department","23° 46 ' 28""","74° 23 ' 20""",1958,"Mahi","kalol nalla","Ghatol","II","Earthfill_Embankment",14.02,915,0,11.92,NA,11.67,"I",580
44,"RA11LH0044","CHANDRABHAGA","Rajasthan Water Resources Department","25° 10 ' 18""","74° 4 ' 25""",1958,"Ganga","Chandrabhaga","Gangapur","II","Earthfill_Embankment",10.52,488,0,9960000,5760000,9854000,"I",1218
45,"RA11MH0045","LODISAR","Rajasthan Water Resources Department","23° 39 ' 57""","73° 54 ' 59""",1983,"Mahi","moran","simal","III","Earthfill_Embankment",12.2,1960,0,11950000,3140000,10940000,"I",1777
46,"RA11MH0046","NANDSAMAND","Rajasthan Water Resources Department","24° 55 ' 38""","73° 46 ' 52""",1958,"Ganga","Banas","nathdwara","II","Earthfill_Embankment",18.38,1292,0,21220000,4400000,20630000,"I",9287
47,"RA11MH0047","MEJA","Rajasthan Water Resources Department","25° 23 ' 35""","74° 32 ' 24""",1958,"Ganga","Kothari","Bhilwara","II","Other",19.2,2850,0,8.4e+07,23980000,83552000,"I",3625
48,"RA11MH0048","GUDHA","Rajasthan Water Resources Department","25° 29 ' 36""","75° 27 ' 31""",1958,"Ganga","Mejchambal","Hindoli","II","Earthfill_Embankment",25,2760,7420000,95580000,18590000,93700000,"I",5883
49,"RA11MH0049","MATRIKUNDIYA","Rajasthan Water Resources Department","25° 2 ' 14""","74° 18 ' 53""",1991,"Ganga","Banas","rashmi","II","Earthfill_Embankment",0,0,0,50670000,14200000,49970000,"I",8240
50,"RA11MH0050","GAMBHIRI","Rajasthan Water Resources Department","24° 42 ' 9""","74° 43 ' 50""",1958,"Ganga","gambhiri","Nimbahera","II","Earthfill_Embankment",21,3840,0,54980000,20570000,53440000,"I",8144
51,"RA11MH0051","NAGDI","Rajasthan Water Resources Department","25° 36 ' 56""","75° 17 ' 8""",1959,"Ganga","Nagdi","Jahazpur","II","Earthfill_Embankment",15.08,1165,0,5150000,1602000,5090000,"I",199
52,"RA11MH0052","TOKRA","Rajasthan Water Resources Department","24° 41 ' 33""","72° 42 ' 36""",1959,"West Flowing Rivers of Kutch and Saurashtra including Luni","Tokra","Revdar","III","Earthfill_Embankment",20,1768,0,5440000,2090000,5190000,"I",370
53,"RA11LH0053","GIRINANDA","Rajasthan Water Resources Department","26° 10 ' 57""","74° 10 ' 2""",1959,"West Flowing Rivers of Kutch and Saurashtra including Luni","Luni","Raipur.","II","Earthfill_Embankment",12.2,351,32240,5660000,1300000,5500000,"I",446
54,"RA11MH0054","MOREL","Rajasthan Water Resources Department","26° 26 ' 48""","76° 20 ' 15""",1959,"Ganga","Morel","bonali","II","Earthfill_Embankment",22.5,805,0,76635000,15670000,70710000,"I",1958
55,"RA11MH0055","GALWA","Rajasthan Water Resources Department","25° 53 ' 12""","76° 2 ' 58""",1960,"Ganga","Galwa","Uniara","III","Earthfill_Embankment",16.35,6068,0,48730000,17743000,48360000,"I",3240
56,"RA11LH0056","MASHI","Rajasthan Water Resources Department","26° 25 ' 0""","75° 46 ' 0""",1960,"Ganga","Mashi","Newai","III","Earthfill_Embankment",13.44,2103,0,48127000,10620000,35117000,"I",11954
57,"RA11HH0057","KOTA BARRAGE","Rajasthan Water Resources Department","25° 10 ' 35""","75° 49 ' 31""",NA,"Ganga","Chambal","Kota","III","Other",37.35,551.68,0,112060000,5820000,69830000,"I",21237
58,"RA11LH0058","KANA","Rajasthan Water Resources Department","25° 15 ' 36""","73° 30 ' 58""",1965,"West Flowing Rivers of Kutch and Saurashtra including Luni","Ghanerow","Desuri","II","Earthfill_Embankment",13.41,1129,76000,3220000,115000,3115200,"I",332
59,"RA11LH0059","ATAWARA","Rajasthan Water Resources Department","25° 20 ' 54""","74° 10 ' 47""",1961,"Ganga","Banas","Raipur.","II","Earthfill_Embankment",10.36,2671,0,5235000,510000,5094000,"I",402
60,"RA11MH0060","BANAKIYA","Rajasthan Water Resources Department","24° 54 ' 18""","74° 29 ' 44""",1962,"Ganga","Local Nalla","gangar","II","Earthfill_Embankment",12.92,2555,0,9430000,5500000,9269000,"I",849
61,"RA11MH0061","ALNIA","Rajasthan Water Resources Department","25° 0 ' 14""","75° 52 ' 38""",1960,"Ganga","alnia","Ladpura","II","Other",14.63,1753,0,43720000,12800000,43700000,"I",1325
62,"RA11MH0062","WEST BANAS","Rajasthan Water Resources Department","24° 41 ' 33""","72° 55 ' 50""",1962,"West Flowing Rivers of Kutch and Saurashtra including Luni","West Banas","Abu Road","III","Earthfill_Embankment",20.9,4557.8,0,39070000,9410000,36250000,"I",1481
63,"RA11MH0063","POIDRA","Rajasthan Water Resources Department","24° 48 ' 52""","72° 30 ' 31""",1963,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local Pat Ganga","Sirohi","II","Earthfill_Embankment",17,1323,0,37900000,3230000,2660000,"I",252
64,"RA11LH0064","BITHAN","Rajasthan Water Resources Department","24° 45 ' 33""","72° 26 ' 17""",1963,"West Flowing Rivers of Kutch and Saurashtra including Luni","Banas","Bhinmal","III","Earthfill_Embankment",14,706,46000,7200000,2080000,6e+06,"I",354
65,"RA11MH0065","SURWANIA","Rajasthan Water Resources Department","23° 29 ' 27""","74° 21 ' 54""",1962,"Mahi","Borwat","Banswara","II","Earthfill_Embankment",22.25,3082.5,0,13200000,4180000,11660000,"I",8791
66,"RA11MH0066","PARBATI DAM","Rajasthan Water Resources Department","26° 37 ' 41""","77° 26 ' 49""",1963,"Ganga","parbati","baseri","II","Other",27.24,7985.76,0,115167000,2.3e+07,10829000,"I/S",6173
67,"RA11LH0067","GADOLA","Rajasthan Water Resources Department","24° 7 ' 50""","74° 49 ' 57""",1964,"Ganga","Local Nalla","Pratapgarh","II","Earthfill_Embankment",10.97,1650,0,5070000,2150000,4980000,"I",184
68,"RA11LH0068","KALADEH","Rajasthan Water Resources Department","24° 58 ' 48""","74° 4 ' 44""",1964,"Ganga","Local nallah","relmagra","II","Earthfill_Embankment",15.75,526,151000,2040000,550000,1550000,"I",224
69,"RA11MH0069","DHANTA","Rajasthan Water Resources Department","24° 47 ' 59""","72° 48 ' 53""",1965,"West Flowing Rivers of Kutch and Saurashtra including Luni","Krishnawati","Sirohi","III","Earthfill_Embankment",15.5,425,0,7850000,1760000,7460000,"I",326
70,"RA11LH0070","RAIPUR LUNI","Rajasthan Water Resources Department","26° 1 ' 24""","74° 3 ' 52""",1969,"West Flowing Rivers of Kutch and Saurashtra including Luni","Raipur Luni","Raipur.","II","Earthfill_Embankment",11,522,12500,12552000,3550000,10960000,"I",945
71,"RA11MH0071","BERACH/Vallabh Nagar","Rajasthan Water Resources Department","24° 39 ' 20""","73° 59 ' 18""",1967,"Ganga","Berach","Udaipur","II","Earthfill_Embankment",22.2,5822,0,30460000,5500000,28780000,"I",2775
72,"RA11LH0072","LADKI","Rajasthan Water Resources Department","25° 24 ' 44""","74° 4 ' 43""",1966,"Ganga","Kothari","Mandal","II","Earthfill_Embankment",12.28,581,41290,3795000,1190000,2775000,"I",768.35
73,"RA11MH0073","MANDAWARA","Rajasthan Water Resources Department","24° 44 ' 28""","72° 53 ' 28""",1967,"West Flowing Rivers of Kutch and Saurashtra including Luni","Kundal","Pindwara","III","Earthfill_Embankment",15.45,457,0,2470000,650000,2160000,"I",170
74,"RA11MH0074","MEMKHORE","Rajasthan Water Resources Department","23° 50 ' 31""","74° 27 ' 51""",1967,"Mahi","Local Nalla","Ghatol","II","Other",20.45,244,0,4200000,1940000,3580000,"I",174.4
75,"RA11LH0075","BHAGORA","Rajasthan Water Resources Department","23° 35 ' 26""","74° 11 ' 54""",1967,"Mahi","Local nallah","Garhi","II","Earthfill_Embankment",10.49,1800,0,3240000,NA,2550000,"I/S",229
76,"RA11HH0076","RANAPRATAP SAGER","Rajasthan Water Resources Department","24° 55 ' 1""","75° 34 ' 53""",1970,"Ganga","Chambal","Begun","II","Earthfill_Embankment",0,0,0,NA,2898690000,198260000,"I/H/S",18400
77,"RA11MH0077","SHIVNATH SAGAR","Rajasthan Water Resources Department","24° 58 ' 34""","73° 12 ' 26""",1971,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local Nala","Bali","III","Earthfill_Embankment",17,113,21000,1270000,125000,1270000,"I",44
78,"RA11MH0078","MANDAR NALLA- 1","Rajasthan Water Resources Department","18° 12 ' 55""","74° 1 ' 10""",1971,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local River Wasan","Reodar","II","Earthfill_Embankment",16.77,244.8,0,2811000,850000,2221000,"I",36.4
79,"RA11LH0079","PHULAD","Rajasthan Water Resources Department","25° 36 ' 40""","73° 49 ' 16""",1976,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local Nala","kharchi","II","Earthfill_Embankment",14.32,5610,66000,3722000,102000,3500000,"I",389
80,"RA11MH0080","ORAI","Rajasthan Water Resources Department","25° 2 ' 10""","74° 50 ' 44""",1973,"Ganga","Orai","Begun","II","Earthfill_Embankment",24.38,1365,0,35280000,6230000,32820000,"I",1574
81,"RA11MH0081","BADGAON","Rajasthan Water Resources Department","24° 42 ' 29""","74° 5 ' 21""",1973,"Ganga","Berach","vallabhnagar","II","Earthfill_Embankment",18.75,5202,0,31520000,9790000,30190000,"I",2874
82,"RA11HH0082","JAWAHARSAGAR","Rajasthan Water Resources Department","25° 2 ' 14""","75° 40 ' 40""",1972,"Ganga","Chambal","Bundi","II","Other",44.8,219.46,343000,67070000,9472000,13200000,"H",21225
83,"RA11MH0083","PANDA","Rajasthan Water Resources Department","23° 13 ' 19""","74° 40 ' 17""",1974,"Mahi","Local Nalla","Kushalgarh","II","Other",18.388,442,0,1430000,204000,1343000,"I",3100
84,"RA11LH0084","PHUTOON","Rajasthan Water Resources Department","23° 47 ' 41""","74° 10 ' 21""",1975,"Mahi","Mahi","Phutoon","II","Earthfill_Embankment",12.89,756,0,3360000,104400,3050000,"I",326.2
85,"RA11LH0085","KHATIA","Rajasthan Water Resources Department","23° 44 ' 26""","74° 25 ' 55""",1977,"Mahi","Local nallah","Ghatol","II","Earthfill_Embankment",12.5,491,138000,1380000,69600,1320000,"I",108
86,"RA11MH0086","LUNERI","Rajasthan Water Resources Department","24° 38 ' 44""","72° 57 ' 49""",1976,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local Nala","Pindwara","III","Earthfill_Embankment",11.4,1493,0,2440000,291000,2286000,"I",174
87,"RA11LH0087","BARDIA","Rajasthan Water Resources Department","23° 58 ' 26""","74° 45 ' 36""",1977,"Ganga","Siwana","Pratapgarh","II","Earthfill_Embankment",10.19,423.15,0,1982000,420000,1813000,"I",195.97
88,"RA11LH0088","KER","Rajasthan Water Resources Department","24° 43 ' 52""","72° 52 ' 8""",1977,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local Nala","Pindwara","III","Earthfill_Embankment",13,1889,0,30400000,1403000,2780000,"I",212
89,"RA11LH0089","GIRWAR","Rajasthan Water Resources Department","24° 31 ' 27""","72° 38 ' 21""",1977,"West Flowing Rivers of Kutch and Saurashtra including Luni","West Banas","Abu Road","III","Other",12.97,875,0,2400000,880000,2261800,"I",239
90,"RA11LH0090","SINDROO","Rajasthan Water Resources Department","25° 15 ' 28""","73° 9 ' 15""",1977,"West Flowing Rivers of Kutch and Saurashtra including Luni","Amlabala","Bali","II","Earthfill_Embankment",25,1836,0,8460000,3230000,6700000,"I",267
91,"RA11HH0091","SEI DIVERSION","Rajasthan Water Resources Department","24° 43 ' 2""","73° 11 ' 57""",1978,"Sabarmati","Sei","Kotri","III","Earthfill_Embankment",28,1453,192000,45830000,2925000,38650000,"I",1756
92,"RA11HH0092","PANCHANA","Rajasthan Water Resources Department","26° 33 ' 45""","77° 0 ' 18""",2006,"Ganga","gambhiri","Karauli","II","Earthfill_Embankment",33.19,1207.8,0,54950000,9240000,52650000,"I",5728
93,"RA11LH0093","MORASAGAR","Rajasthan Water Resources Department","26° 39 ' 52""","76° 32 ' 22""",1934,"Ganga","Banas","Sawai Madhopur","II","Earthfill_Embankment",25,5273,0,12930000,5850000,12870000,"I",383
94,"RA11MH0094","DANDIA","Rajasthan Water Resources Department","25° 14 ' 41""","73° 34 ' 29""",1982,"West Flowing Rivers of Kutch and Saurashtra including Luni","Tr. of Sukhri","Desuri","II","Earthfill_Embankment",17,750,225000,13384000,176000,1333300,"I",119
95,"RA11LH0095","JUNA MALARI","Rajasthan Water Resources Department","25° 8 ' 36""","73° 26 ' 10""",1980,"West Flowing Rivers of Kutch and Saurashtra including Luni","Tr. of Mithi","Desuri","II","Earthfill_Embankment",11.28,2011,159000,1760000,26800000,1685000,"I",126
96,"RA11MH0096","ABHAYA PURA","Rajasthan Water Resources Department","25° 18 ' 11""","75° 26 ' 49""",1976,"Ganga","Bhimlat","Bundi","II","Earthfill_Embankment",17.75,1340,0,7440000,1840000,7440000,"I",531
97,"RA11MH0097","JETPURA","Rajasthan Water Resources Department","25° 15 ' 0""","75° 12 ' 22""",1978,"Ganga","Unli","Mandal Garh","II","Other",21.8,585,0,18540000,3370000,16390000,"I",1064
98,"RA11LH0098","BORDA","Rajasthan Water Resources Department","24° 59 ' 54""","74° 33 ' 50""",1979,"Ganga","Local nallah","gangrar","II","Earthfill_Embankment",11.7,1580,0,5040000,225000,1e+06,"I",65
99,"RA11LH0099","LAMBA DABRA","Rajasthan Water Resources Department","23° 51 ' 13""","74° 37 ' 30""",1979,"Mahi","Local nallah","Ghatol","II","Earthfill_Embankment",13.92,141.76,0,1240000,263000,1200000,"I",116
100,"RA11MH0100","CHOTI-TANDI","Rajasthan Water Resources Department","23° 8 ' 40""","74° 18 ' 5""",1979,"Mahi","Local Nalla","Kushalgarh","II","Other",18.5,690,0,1915000,550000,1699000,"I/S",151
101,"RA11MH0101","GOPALPURA","Rajasthan Water Resources Department","25° 9 ' 52""","76° 43 ' 54""",1980,"Ganga","Chambal","Kishanganj.","II","Other",17.43,1880,NA,32650000,6290000,31900000,"I",1175
102,"RA11LH0102","JAGPURA","Rajasthan Water Resources Department","23° 51 ' 25""","74° 20 ' 55""",1980,"Mahi","Local Nalla","Ghatol","II","Earthfill_Embankment",13.1,442,0,1480000,1810000,1470000,"I",110
103,"RA11LH0103","CHANDELAO","Rajasthan Water Resources Department","24° 31 ' 22""","72° 41 ' 29""",1980,"West Flowing Rivers of Kutch and Saurashtra including Luni","West Banas","Abu Road","III","Earthfill_Embankment",10,792,0,1585000,NA,1570000,"I",167
104,"RA11LH0104","KANYAKHERI","Rajasthan Water Resources Department","25° 15 ' 13""","74° 37 ' 27""",1987,"Ganga","Local Nalla","Bhilwara","II","Earthfill_Embankment",10.5,3656,803000,4330000,2376000,3790000,"I",171
105,"RA11MH0105","MODIA MAHADEV","Rajasthan Water Resources Department","24° 50 ' 41""","74° 47 ' 3""",1980,"Ganga","Local Nalla","Begun","II","Earthfill_Embankment",16.53,625,376430,3885000,1150000,3648000,"I",595
106,"RA11MH0106","JHADOL","Rajasthan Water Resources Department","25° 26 ' 35""","74° 54 ' 40""",1980,"Ganga","Banas","Kotri","II","Earthfill_Embankment",16.5,870,142500,10335000,4430000,9287000,"I",599
107,"RA11LH0107","TITORA","Rajasthan Water Resources Department","25° 22 ' 30""","75° 13 ' 46""",1982,"Ganga","Local Nalla","Jahazpur","II","Earthfill_Embankment",12,749,87920,1358000,145000,1231000,"I",145
108,"RA11LH0108","ANWASA","Rajasthan Water Resources Department","25° 14 ' 43""","75° 7 ' 19""",1981,"Ganga","Local nallah","Mandalgarh","II","Other",13.84,860,120000,2820000,953000,2820000,"I",198
109,"RA11MH0109","BABARA","Rajasthan Water Resources Department","26° 13 ' 27""","74° 16 ' 27""",1983,"West Flowing Rivers of Kutch and Saurashtra including Luni","LILARI","tri of lilari","II","Earthfill_Embankment",21,765,55000,3769600,1940000,3559800,"I",817
110,"RA11LH0110","MORWANIA","Rajasthan Water Resources Department","23° 45 ' 43""","74° 34 ' 13""",1982,"Mahi","Local nallah","Ghatol","II","Earthfill_Embankment",11.11,453.8,0,1140000,NA,1080000,"I",85.1
111,"RA11MH0111","GOYAKA PRASAD","Rajasthan Water Resources Department","23° 10 ' 44""","74° 16 ' 24""",1982,"Mahi","Local Nalla","Kushalgarh","II","Earthfill_Embankment",17.91,463,0,2217000,510000,1897000,"I/S",140
112,"RA11MH0112","DEVLIYA","Rajasthan Water Resources Department","25° 16 ' 41""","74° 8 ' 36""",1982,"Ganga","Local nallah","Mandalgarh","II","Earthfill_Embankment",16.1,250,40000,2380000,2400000,2380000,"I",230
113,"RA11HH0113","DAYA","Rajasthan Water Resources Department","24° 19 ' 53""","73° 48 ' 36""",1982,"Mahi","Daya","sarada","II","Earthfill_Embankment",31.16,1130,0,12400000,1570000,11200000,"I",620
114,"RA11LH0114","MANDOL","Rajasthan Water Resources Department","25° 27 ' 8""","74° 33 ' 56""",1981,"West Flowing Rivers of Kutch and Saurashtra including Luni","Banas","Bhilwara","II","Earthfill_Embankment",13.8,633,0,6800000,2194000,6260000,"I/S",572
115,"RA11HH0115","SOMKAGDAR","Rajasthan Water Resources Department","24° 1 ' 41""","73° 37 ' 42""",1983,"Mahi","Som","Kherwara","III","Other",24,480,0,36200000,3900000,34440000,"I",3220
116,"RA11MH0116","DAMTI KOKRA","Rajasthan Water Resources Department","25° 9 ' 7""","75° 8 ' 23""",1989,"Ganga","Local Nalla","Mandalgarh","II","Other",27.31,998,0,4730000,6377000,4304000,"I",369
117,"RA11MH0117","SARAN KHERI","Rajasthan Water Resources Department","24° 28 ' 1""","76° 8 ' 42""",1983,"Ganga","Jahugiya","Jhalra Patan","II","Earthfill_Embankment",14.83,1143,0,6230000,2020000,5720000,"I",330
118,"RA11MH0118","WAGON","Rajasthan Water Resources Department","24° 29 ' 41""","74° 24 ' 28""",1984,"Ganga","wagon","Dungla","II","Earthfill_Embankment",0,0,0,40650000,9600000,37580000,"I",2427
119,"RA11HH0119","MAHI BAJAJ SAGAR","Rajasthan Water Resources Department","23° 37 ' 41""","74° 32 ' 50""",1985,"Mahi","Mahi","Banswara","II","Other",74.5,3109,NA,NA,2180376000,142900000,"I/H/S/O",23270
120,"RA11MH0120","KUI SAGNA","Rajasthan Water Resources Department","24° 27 ' 56""","72° 48 ' 13""",1983,"West Flowing Rivers of Kutch and Saurashtra including Luni","West Banas","Abu Road","III","Earthfill_Embankment",15.4,372,0,1980000,NA,1800000,"I",147
121,"RA11MH0121","CHATRA KUNTA","Rajasthan Water Resources Department","23° 13 ' 0""","74° 18 ' 50""",1985,"Mahi","Local nallah","Kushalgarh","II","Earthfill_Embankment",15.4,448,0,1138000,26540,1060000,"I",95
